,movie_id,title,year,mpaa,director,main_actor_1,main_actor_2,main_actor_3,main_actor_4,genre_1,runtime_conv,full_date,infl_budget,infl_domestic,infl_worldwide
1883,tt1027862,Swing Vote,2008,PG-13,Joshua Michael Stern,Kevin Costner,Paula Patton,Kelsey Grammer,Madeline Carroll,Comedy,120,2008-08-01,26429589.926754393,20501643.084350895,22195062.424072124
1884,tt1028576,Secretariat,2010,PG,Randall Wallace,Diane Lane,John Malkovich,Margo Martindale,Nelsan Ellis,Biography,123,2010-10-08,43493185.23681991,74204288.74394652,74959710.69436292
1885,tt1029360,Poltergeist,2015,PG-13,Gil Kenan,Sam Rockwell,Rosemarie DeWitt,Kennedi Clements,Saxon Sharbino,Horror,93,2015-05-20,40013796.4787336,54218837.13510002,109109613.37870282
1886,tt1031969,The Rocker,2008,PG-13,Peter Cattaneo,Rainn Wilson,Josh Gad,Christina Applegate,Teddy Geiger,Comedy,102,2008-08-20,18878278.51911028,8066723.650669058,11086501.892449247
1887,tt1032751,The Warrior's Way,2010,R,Sngmoo Lee,Dong-Gun Jang,Kate Bosworth,Geoffrey Rush,Danny Huston,Action,100,2010-12-01,52191822.28418388,7041347.863851489,13797820.335051548
1888,tt1032815,"I Love You, Beth Cooper",2009,PG-13,Chris Columbus,Hayden Panettiere,Paul Rust,Jack Carpenter,Lauren London,Comedy,102,2009-07-10,22734819.634841546,18693989.629993897,19983788.995790936
1889,tt1033643,What Happens in Vegas,2008,PG-13,Tom Vaughan,Cameron Diaz,Ashton Kutcher,Rob Corddry,Lake Bell,Comedy,99,2008-05-07,44049316.54459066,101033584.00310262,276095530.64815634
1890,tt1034303,Defiance,2008,R,Edward Zwick,Daniel Craig,Liev Schreiber,Jamie Bell,Alexa Davalos,Action,137,2008-12-31,40273660.84076859,36050983.86278872,64516832.7355866
1891,tt1034324,The Mighty Macs,2009,G,Tim Chambers,Carla Gugino,Marley Shelton,Ellen Burstyn,David Boreanaz,Drama,99,2009-10-21,8841318.746882822,2389601.317814643,2389601.317814643
1892,tt1034331,Righteous Kill,2008,R,Jon Avnet,Robert De Niro,Al Pacino,Carla Gugino,50 Cent,Crime,101,2008-09-10,75513114.07644112,50444534.76124346,100053423.78239042
1893,tt1034389,The Eagle,2011,PG-13,Kevin Macdonald,Channing Tatum,Jamie Bell,Donald Sutherland,István Göz,Action,114,2011-02-10,30115942.54442316,23478438.19777807,45763805.62499167
1894,tt1035736,Coco Before Chanel,2009,PG-13,Anne Fontaine,Audrey Tautou,Benoît Poelvoorde,Alessandro Nivola,Marie Gillain,Biography,105,2009-04-22,29050047.311186418,7722050.737075657,64179049.422617085
1895,tt1037705,The Book of Eli,2010,R,Albert Hughes,Denzel Washington,Mila Kunis,Ray Stevenson,Gary Oldman,Action,118,2010-01-14,99412994.82701692,117847965.37233555,195231905.43874052
1896,tt1038686,Legion,2010,R,Scott Stewart,Paul Bettany,Dennis Quaid,Charles S. Dutton,Lucas Black,Action,100,2010-01-21,32309223.3187805,49915364.11564002,84399964.95514914
1897,tt1038919,The Bounty Hunter,2010,PG-13,Andy Tennant,Jennifer Aniston,Gerard Butler,Gio Perez,Joel Marsh Garland,Action,110,2010-03-18,49706497.41350846,83334468.90321754,169416546.46668747
1898,tt1041804,The Nutcracker in 3D,2010,PG,Andrey Konchalovskiy,Richard Philipps,Fernanda Dorogi,Kriszta Dorogi,Dániel Mogács,Action,110,2010-11-24,111839619.18039404,242889.55694867374,21346446.61559416
1899,tt1041829,The Proposal,2009,PG-13,Anne Fletcher,Sandra Bullock,Ryan Reynolds,Mary Steenburgen,Craig T. Nelson,Comedy,108,2009-06-17,50521821.41075899,207086459.02604216,400859115.9104024
1900,tt1042877,Cadillac Records,2008,R,Darnell Martin,Adrien Brody,Jeffrey Wright,Beyoncé,Columbus Short,Biography,109,2008-12-05,15102622.815288223,10314526.293038186,11180527.046441529
1901,tt1043726,The Legend of Hercules,2014,PG-13,Renny Harlin,Kellan Lutz,Gaia Weiss,Scott Adkins,Roxanne McKee,Action,99,2014-01-30,80122583.80643418,21574193.79333942,70140971.8354623
1902,tt1045658,Silver Linings Playbook,2012,R,David O. Russell,Bradley Cooper,Jennifer Lawrence,Robert De Niro,Jacki Weaver,Comedy,122,2012-11-16,24784489.141702313,155897927.7736352,279017232.1115099
