tempID#,content_rating,runtime,production_company,tomatometer_rating,audience_rating,year,month,len_title,len_movie_info,num_directors,num_authors,num_actors,num_genres,main_genre
355,PG,130,Warner Bros.,71,81,1971,3,15,297,1,3,18,1,Drama
356,PG,135,Other,100,75,1985,9,19,458,2,1,10,2,Drama
357,R,90,Other,60,65,1985,10,15,125,1,4,26,2,Art House & International
358,NR,112,Paramount,86,79,1955,1,19,495,1,1,23,3,Classics
359,NR,80,MGM,20,28,1964,1,10,138,1,4,33,2,Classics
360,R,107,Other,92,73,1973,7,9,478,1,1,19,3,Action & Adventure
361,NR,113,Warner Bros.,90,74,1933,8,15,457,1,3,27,4,Classics
362,R,114,Paramount,43,45,1988,11,15,118,1,2,20,1,Drama
363,PG-13,197,MGM,84,88,1965,12,14,477,1,1,38,4,Classics
364,NR,104,Warner Bros.,100,74,1939,4,10,483,1,1,59,2,Classics
365,R,77,Other,60,51,1987,3,5,467,1,1,9,1,Horror
366,NR,97,Paramount,90,80,1931,12,23,468,1,2,15,2,Drama
