movie_id,title,mpaa,director,main_actor_1,main_actor_2,main_actor_3,main_actor_4,budget,domestic,genre_1,runtime,release_date
tt0106226,The Age of Innocence,PG,Martin Scorsese,Daniel Day-Lewis,Michelle Pfeiffer,Winona Ryder,Linda Faye Farkas,34000000.0,32255440.0,Drama,139,1993-09-17
tt0106264,Amongst Friends,R,Rob Weiss,Joseph Granda,Patrick McGaw,Steve Parlavecchio,Chris Santos,1000000.0,265000.0,Crime,86,1993-07-23
tt0106379,Being Human,PG-13,Bill Forsyth,Robin Williams,John Turturro,Kelly Hunter,Maudie Johnson,40000000.0,1519366.0,Comedy,122,1994-05-06
tt0106453,Body of Evidence,R,Uli Edel,Madonna,Willem Dafoe,Joe Mantegna,Anne Archer,30000000.0,13273595.0,Drama,99,1992-01-15
tt0106519,Carlito's Way,R,Brian De Palma,Al Pacino,Sean Penn,Penelope Ann Miller,John Leguizamo,30000000.0,36948322.0,Crime,144,1993-11-12
tt0106582,Cliffhanger,R,Renny Harlin,Sylvester Stallone,John Lithgow,Michael Rooker,Janine Turner,70000000.0,84049211.0,Action,113,1993-05-28
tt0106611,Cool Runnings,PG,Jon Turteltaub,John Candy,Leon,Doug E. Doug,Rawle D. Lewis,14000000.0,68856263.0,Adventure,98,1993-10-01
tt0106950,Fortress,R,Stuart Gordon,Christopher Lambert,Loryn Locklin,Kurtwood Smith,Clifton Collins Jr.,8000000.0,6739141.0,Action,95,1992-09-03
tt0107004,Geronimo: An American Legend,PG-13,Walter Hill,Jason Patric,Gene Hackman,Robert Duvall,Wes Studi,35000000.0,18635620.0,Drama,115,1993-12-10
tt0107096,Heaven & Earth,R,Oliver Stone,Hiep Thi Le,Tommy Lee Jones,Haing S. Ngor,Bussaro Sanruck,33000000.0,5864949.0,Action,140,1993-12-25
tt0107151,The House of the Spirits,R,Bille August,Jeremy Irons,Meryl Streep,Maria Conchita Alonso,António Assunção,40000000.0,6265311.0,Drama,140,1993-04-01
tt0107156,The Wedding Banquet,R,Ang Lee,Winston Chao,May Chin,Ah-Lei Gua,Sihung Lung,1000000.0,6933459.0,Comedy,106,1993-08-06
tt0107206,In the Line of Fire,R,Wolfgang Petersen,Clint Eastwood,John Malkovich,Rene Russo,Dylan McDermott,40000000.0,102314823.0,Action,128,1993-07-09
tt0107290,Jurassic Park,PG-13,Steven Spielberg,Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough,63000000.0,402828120.0,Action,127,1993-06-11
tt0107362,Last Action Hero,PG-13,John McTiernan,Arnold Schwarzenegger,F. Murray Abraham,Art Carney,Charles Dance,85000000.0,50016394.0,Action,130,1993-06-18
tt0107614,Mrs. Doubtfire,PG-13,Chris Columbus,Robin Williams,Sally Field,Pierce Brosnan,Harvey Fierstein,25000000.0,219195243.0,Comedy,125,1993-11-24
tt0107616,Much Ado About Nothing,PG-13,Kenneth Branagh,Kenneth Branagh,Emma Thompson,Keanu Reeves,Kate Beckinsale,11000000.0,22549338.0,Comedy,111,1993-05-07
tt0107818,Philadelphia,PG-13,Jonathan Demme,Tom Hanks,Denzel Washington,Roberta Maxwell,Buzz Kilman,26000000.0,77446440.0,Drama,125,1993-12-24
tt0107978,RoboCop 3,PG-13,Fred Dekker,Robert John Burke,Nancy Allen,Mario Machado,Remy Ryan,22000000.0,10696210.0,Action,104,1993-11-05
tt0108052,Schindler's List,R,Steven Spielberg,Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall,22000000.0,96898818.0,Biography,195,1993-12-15
tt0108101,Shadowlands,PG,Richard Attenborough,Anthony Hopkins,Debra Winger,Julian Fellowes,Roddy Maude-Roxby,22000000.0,25842377.0,Biography,131,1993-12-31
tt0108148,Iron Monkey,PG-13,Woo-Ping Yuen,Rongguang Yu,Donnie Yen,Jean Wang,Sze-Man Tsang,11000000.0,14694904.0,Action,90,1993-10-12
tt0108160,Sleepless in Seattle,PG,Nora Ephron,Tom Hanks,Meg Ryan,Ross Malinger,Rita Wilson,21000000.0,126808165.0,Comedy,105,1993-06-25
tt0108255,Super Mario Bros.,PG,Annabel Jankel,Bob Hoskins,John Leguizamo,Dennis Hopper,Samantha Mathis,48000000.0,20915465.0,Adventure,104,1993-05-28
tt0108308,Teenage Mutant Ninja Turtles III,PG,Stuart Gillard,Elias Koteas,Paige Turco,Stuart Wilson,Sab Shimono,21000000.0,42273609.0,Action,96,1993-03-19
tt0108327,The Thing Called Love,PG-13,Peter Bogdanovich,River Phoenix,Samantha Mathis,Dermot Mulroney,Sandra Bullock,14000000.0,1029721.0,Comedy,116,1993-08-27
tt0108525,Wayne's World 2,PG-13,Stephen Surjik,Mike Myers,Dana Carvey,Christopher Walken,Tia Carrere,40000000.0,48197805.0,Comedy,95,1993-12-10
tt0109040,Ace Ventura: Pet Detective,PG-13,Tom Shadyac,Jim Carrey,Courteney Cox,Sean Young,Tone Loc,15000000.0,72217396.0,Comedy,86,1994-02-04
tt0109190,Baby's Day Out,PG,Patrick Read Johnson,Lara Flynn Boyle,Joe Mantegna,Joe Pantoliano,Brian Haley,48000000.0,16827402.0,Adventure,99,1994-07-01
tt0109254,Beverly Hills Cop III,R,John Landis,Eddie Murphy,Jon Tenney,Joey Travolta,Eugene Collier,50000000.0,42614912.0,Action,104,1994-05-25
tt0109370,Canadian Bacon,PG,Michael Moore,John Candy,Alan Alda,Rhea Perlman,Kevin Pollak,11000000.0,163971.0,Comedy,91,1995-09-22
tt0109444,Clear and Present Danger,PG-13,Phillip Noyce,Harrison Ford,Willem Dafoe,Anne Archer,Joaquim de Almeida,62000000.0,122187717.0,Action,141,1994-08-05
tt0109445,Clerks,R,Kevin Smith,Brian O'Halloran,Jeff Anderson,Marilyn Ghigliotti,Lisa Spoonauer,27000.0,3151130.0,Comedy,92,1994-10-19
tt0109456,Color of Night,R,Richard Rush,Bruce Willis,Jane March,Rubén Blades,Lesley Ann Warren,40000000.0,19726050.0,Mystery,121,1994-08-19
tt0109579,Death and the Maiden,R,Roman Polanski,Sigourney Weaver,Ben Kingsley,Stuart Wilson,Krystia Mova,12000000.0,3103716.0,Drama,103,1994-12-23
